,Forward,Center,Guard,Under 6,6 - 6_5,6_5 - 6_11,7 and Over,18-24,25-29,30-34,35+,Round 1,Round 2,Undrafted,Domestic,International,Eastern,Western
Bam Adebayo,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
Giannis Antetokounmpo,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0
Jaylen Brown,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
Stephen Curry,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
DeMar DeRozan,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
Luka Doncic,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
Kevin Durant,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
Anthony Edwards,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
Joel Embiid,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
De'Aaron Fox,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
Paul George,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
Shai Gilgeous-Alexander,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
Tyrese Haliburton,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
Jrue Holiday,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0
Kyrie Irving,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
"Jaren Jackson, Jr.",1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
LeBron James,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
Nikola Jokic,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
Damian Lillard,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
Lauri Markkanen,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
Donovan Mitchell,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
Ja Morant,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
Julius Randle,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
Domantas Sabonis,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Pascal Siakam,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0
Jayson Tatum,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
Zion Williamson,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
