,Forward,Center,Guard,Under 6,6 - 6_5,6_5 - 6_11,7 and Over,18-24,25-29,30-34,35+,Round 1,Round 2,Undrafted,Domestic,International,Eastern,Western
Forward,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Center,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guard,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Under 6,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0
6 - 6_5,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0
6_5 - 6_11,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0
7 and Over,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
18-24,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0
25-29,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0
30-34,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0
35+,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0
Round 1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
Round 2,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0
Undrafted,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0
Domestic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
Eastern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
