Name,Position,Height,Age,Draft,Nationality,Conference,All_Star,Team
Precious Achiuwa,Forward,"6'5"" - 6'11""",18-24,Round 1,International,Eastern,All_Star_No,Toronto Raptors
Steven Adams,Center,"6'5"" - 6'11""",25-29,Round 1,International,Western,All_Star_No,Memphis Grizzlies
Bam Adebayo,Center,"6'5"" - 6'11""",25-29,Round 1,Domestic,Eastern,All_Star_Yes,Miami Heat
Ochai Agbaji,Forward,"6' - 6'5""",18-24,Round 1,Domestic,Western,All_Star_No,Utah Jazz
Santi Aldama,Center,"6'5"" - 6'11""",18-24,Round 1,International,Western,All_Star_No,Memphis Grizzlies
Nickeil Alexander-Walker,Guard,"6' - 6'5""",18-24,Round 1,International,Western,All_Star_No,Minnesota Timberwolves
Grayson Allen,Guard,"6' - 6'5""",25-29,Round 1,Domestic,Eastern,All_Star_No,Milwaukee Bucks
Jarrett Allen,Center,"6'5"" - 6'11""",25-29,Round 1,Domestic,Eastern,All_Star_No,Cleveland Cavaliers
Jose Alvarado,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,Western,All_Star_No,New Orleans Pelicans
Kyle Anderson,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,Western,All_Star_No,Minnesota Timberwolves
Giannis Antetokounmpo,Forward,"6'5"" - 6'11""",25-29,Round 1,International,Eastern,All_Star_Yes,Milwaukee Bucks
Thanasis Antetokounmpo,Forward,"6'5"" - 6'11""",30-34,Round 2,International,Eastern,All_Star_No,Milwaukee Bucks
Cole Anthony,Guard,"6' - 6'5""",18-24,Round 1,Domestic,Eastern,All_Star_No,Orlando Magic
OG Anunoby,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,Eastern,All_Star_No,Toronto Raptors
D.J. Augustin,Guard,"6' - 6'5""",35+,Round 1,Domestic,Western,All_Star_No,Houston Rockets
Deni Avdija,Guard,"6'5"" - 6'11""",18-24,Round 1,International,Eastern,All_Star_No,Washington Wizards
Deandre Ayton,Center,7' and Over,18-24,Round 1,International,Western,All_Star_No,Phoenix Suns
Udoka Azubuike,Center,7' and Over,18-24,Round 1,International,Western,All_Star_No,Utah Jazz
Ibou Badji,Center,7' and Over,18-24,Undrafted,International,Western,All_Star_No,Portland Trail Blazers
Marvin Bagley III,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,Eastern,All_Star_No,Detroit Pistons
"Patrick Baldwin, Jr.",Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,Western,All_Star_No,Golden State Warriors
LaMelo Ball,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,Eastern,All_Star_No,Charlotte Hornets
Lonzo Ball,Guard,"6'5"" - 6'11""",25-29,Round 1,Domestic,Eastern,All_Star_No,Chicago Bulls
Mohamed Bamba,Center,7' and Over,18-24,Round 1,Domestic,Western,All_Star_No,Los Angeles Lakers
Paolo Banchero,Center,"6'5"" - 6'11""",18-24,Round 1,Domestic,Eastern,All_Star_No,Orlando Magic
Desmond Bane,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,Western,All_Star_No,Memphis Grizzlies
Dalano Banton,Guard,"6'5"" - 6'11""",18-24,Round 2,International,Eastern,All_Star_No,Toronto Raptors
Dominick Barlow,Forward,"6'5"" - 6'11""",18-24,Undrafted,Domestic,Western,All_Star_No,San Antonio Spurs
Harrison Barnes,Forward,"6'5"" - 6'11""",30-34,Round 1,Domestic,Western,All_Star_No,Sacramento Kings
Scottie Barnes,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,Eastern,All_Star_No,Toronto Raptors
R.J. Barrett,Guard,"6'5"" - 6'11""",18-24,Round 1,International,Eastern,All_Star_No,New York Knicks
Will Barton,Guard,"6' - 6'5""",30-34,Round 2,Domestic,Eastern,All_Star_No,Toronto Raptors
Charles Bassey,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,Western,All_Star_No,San Antonio Spurs
Keita Bates-Diop,Forward,"6'5"" - 6'11""",25-29,Round 2,Domestic,Western,All_Star_No,San Antonio Spurs
Nicolas Batum,Forward,"6'5"" - 6'11""",30-34,Round 1,International,Western,All_Star_No,Los Angeles Clippers
Darius Bazley,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,Western,All_Star_No,Phoenix Suns
Bradley Beal,Guard,"6' - 6'5""",25-29,Round 1,Domestic,Eastern,All_Star_No,Washington Wizards
Malik Beasley,Guard,"6' - 6'5""",25-29,Round 1,Domestic,Western,All_Star_No,Los Angeles Lakers
MarJon Beauchamp,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,Eastern,All_Star_No,Milwaukee Bucks
Davis Bertans,Forward,"6'5"" - 6'11""",30-34,Round 2,International,Western,All_Star_No,Dallas Mavericks
Patrick Beverley,Guard,"6' - 6'5""",30-34,Round 2,Domestic,Eastern,All_Star_No,Chicago Bulls
Saddiq Bey,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,Eastern,All_Star_No,Atlanta Hawks
Khem Birch,Forward,"6'5"" - 6'11""",30-34,Undrafted,International,Western,All_Star_No,San Antonio Spurs
Goga Bitadze,Center,"6'5"" - 6'11""",18-24,Round 1,International,Eastern,All_Star_No,Orlando Magic
Bismack Biyombo,Forward,"6'5"" - 6'11""",30-34,Round 1,International,Western,All_Star_No,Phoenix Suns
Buddy Boeheim,Guard,"6'5"" - 6'11""",18-24,Undrafted,Domestic,Eastern,All_Star_No,Detroit Pistons
Bogdan Bogdanovic,Guard,"6'5"" - 6'11""",30-34,Round 1,International,Eastern,All_Star_No,Atlanta Hawks
Bojan Bogdanovic,Forward,"6'5"" - 6'11""",30-34,Round 2,International,Eastern,All_Star_No,Detroit Pistons
Bol Bol,Center,7' and Over,18-24,Round 2,Domestic,Eastern,All_Star_No,Orlando Magic
Devin Booker,Guard,"6'5"" - 6'11""",25-29,Round 1,Domestic,Western,All_Star_No,Phoenix Suns
"B.J. Boston, Jr.",Guard,"6'5"" - 6'11""",18-24,Round 2,Domestic,Western,All_Star_No,Los Angeles Clippers
Chris Boucher,Forward,"6'5"" - 6'11""",30-34,Undrafted,International,Eastern,All_Star_No,Toronto Raptors
James Bouknight,Guard,"6' - 6'5""",18-24,Round 1,Domestic,Eastern,All_Star_No,Charlotte Hornets
Malaki Branham,Guard,"6' - 6'5""",18-24,Round 1,Domestic,Western,All_Star_No,San Antonio Spurs
Christian Braun,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,Western,All_Star_No,Denver Nuggets
Mikal Bridges,Guard,"6'5"" - 6'11""",25-29,Round 1,Domestic,Eastern,All_Star_No,Brooklyn Nets
Oshae Brissett,Forward,"6'5"" - 6'11""",18-24,Undrafted,International,Eastern,All_Star_No,Indiana Pacers
Malcolm Brogdon,Guard,"6' - 6'5""",30-34,Round 2,Domestic,Eastern,All_Star_No,Boston Celtics
Dillon Brooks,Forward,"6'5"" - 6'11""",25-29,Round 2,International,Western,All_Star_No,Memphis Grizzlies
Jaylen Brown,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,Eastern,All_Star_Yes,Boston Celtics
