Name,Position,Height,Age,Draft,Nationality,All_Star,Team
Precious Achiuwa,Forward,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_No,Toronto Raptors
Bam Adebayo,Center,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_Yes,Miami Heat
Grayson Allen,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Milwaukee Bucks
Jarrett Allen,Center,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Cleveland Cavaliers
Giannis Antetokounmpo,Forward,"6'5"" - 6'11""",25-29,Round 1,International,All_Star_Yes,Milwaukee Bucks
Thanasis Antetokounmpo,Forward,"6'5"" - 6'11""",30-34,Round 2,International,All_Star_No,Milwaukee Bucks
Cole Anthony,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Orlando Magic
OG Anunoby,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Toronto Raptors
Deni Avdija,Guard,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_No,Washington Wizards
Marvin Bagley III,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Detroit Pistons
LaMelo Ball,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Charlotte Hornets
Lonzo Ball,Guard,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Chicago Bulls
Paolo Banchero,Center,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Orlando Magic
Dalano Banton,Guard,"6'5"" - 6'11""",18-24,Round 2,International,All_Star_No,Toronto Raptors
Scottie Barnes,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Toronto Raptors
R.J. Barrett,Guard,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_No,New York Knicks
Will Barton,Guard,"6' - 6'5""",30-34,Round 2,Domestic,All_Star_No,Toronto Raptors
Bradley Beal,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Washington Wizards
MarJon Beauchamp,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Milwaukee Bucks
Patrick Beverley,Guard,"6' - 6'5""",30-34,Round 2,Domestic,All_Star_No,Chicago Bulls
Saddiq Bey,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Atlanta Hawks
Goga Bitadze,Center,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_No,Orlando Magic
Buddy Boeheim,Guard,"6'5"" - 6'11""",18-24,Undrafted,Domestic,All_Star_No,Detroit Pistons
Bogdan Bogdanovic,Guard,"6'5"" - 6'11""",30-34,Round 1,International,All_Star_No,Atlanta Hawks
Bojan Bogdanovic,Forward,"6'5"" - 6'11""",30-34,Round 2,International,All_Star_No,Detroit Pistons
Bol Bol,Center,7' and Over,18-24,Round 2,Domestic,All_Star_No,Orlando Magic
Chris Boucher,Forward,"6'5"" - 6'11""",30-34,Undrafted,International,All_Star_No,Toronto Raptors
James Bouknight,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Charlotte Hornets
Mikal Bridges,Guard,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Brooklyn Nets
Oshae Brissett,Forward,"6'5"" - 6'11""",18-24,Undrafted,International,All_Star_No,Indiana Pacers
Malcolm Brogdon,Guard,"6' - 6'5""",30-34,Round 2,Domestic,All_Star_No,Boston Celtics
Jaylen Brown,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_Yes,Boston Celtics
Kendall Brown,Guard,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Indiana Pacers
Jalen Brunson,Guard,"6' - 6'5""",25-29,Round 2,Domestic,All_Star_No,New York Knicks
Alec Burks,Guard,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Detroit Pistons
Jimmy Butler,Guard,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Miami Heat
Jamal Cain,Forward,"6'5"" - 6'11""",18-24,Undrafted,Domestic,All_Star_No,Miami Heat
Clint Capela,Forward,"6'5"" - 6'11""",25-29,Round 1,International,All_Star_No,Atlanta Hawks
Jevon Carter,Guard,"6' - 6'5""",25-29,Round 2,Domestic,All_Star_No,Milwaukee Bucks
"Wendell Carter, Jr.",Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Orlando Magic
Michael Carter-Williams,Guard,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Orlando Magic
Alex Caruso,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Chicago Bulls
Justin Champagnie,Forward,"6'5"" - 6'11""",18-24,Undrafted,Domestic,All_Star_No,Boston Celtics
Nicolas Claxton,Center,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Brooklyn Nets
John Collins,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Atlanta Hawks
Pat Connaughton,Forward,"6' - 6'5""",30-34,Round 2,Domestic,All_Star_No,Milwaukee Bucks
Xavier Cooks,Guard,"6'5"" - 6'11""",25-29,Undrafted,International,All_Star_No,Washington Wizards
Jae Crowder,Forward,"6'5"" - 6'11""",30-34,Round 2,Domestic,All_Star_No,Milwaukee Bucks
Cade Cunningham,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Detroit Pistons
Seth Curry,Guard,"6' - 6'5""",30-34,Undrafted,Domestic,All_Star_No,Brooklyn Nets
Johnny Davis,Forward,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Washington Wizards
J.D. Davison,Forward,"6' - 6'5""",18-24,Round 2,Domestic,All_Star_No,Boston Celtics
DeMar DeRozan,Guard,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_Yes,Chicago Bulls
Dewayne Dedmon,Forward,7' and Over,30-34,Undrafted,Domestic,All_Star_No,Philadelphia Sixers
Mamadi Diakite,Forward,"6'5"" - 6'11""",25-29,Undrafted,International,All_Star_No,Cleveland Cavaliers
Hamidou Diallo,Guard,"6' - 6'5""",18-24,Round 2,Domestic,All_Star_No,Detroit Pistons
Spencer Dinwiddie,Guard,"6' - 6'5""",30-34,Round 2,Domestic,All_Star_No,Brooklyn Nets
Ayo Dosunmu,Guard,"6' - 6'5""",18-24,Round 2,Domestic,All_Star_No,Chicago Bulls
Jeff Dowtin,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Toronto Raptors
Goran Dragic,Guard,"6' - 6'5""",35+,Round 2,International,All_Star_No,Milwaukee Bucks
Andre Drummond,Center,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Chicago Bulls
Chris Duarte,Guard,"6'5"" - 6'11""",25-29,Round 1,International,All_Star_No,Indiana Pacers
David Duke,Guard,"6' - 6'5""",18-24,Undrafted,Domestic,All_Star_No,Brooklyn Nets
Jalen Duren,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Detroit Pistons
Joel Embiid,Center,7' and Over,25-29,Round 1,International,All_Star_Yes,Philadelphia Sixers
Bruno Fernando,Center,"6'5"" - 6'11""",18-24,Round 2,International,All_Star_No,Atlanta Hawks
Dorian Finney-Smith,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Brooklyn Nets
Malachi Flynn,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Toronto Raptors
Trent Forrest,Guard,"6' - 6'5""",18-24,Undrafted,Domestic,All_Star_No,Atlanta Hawks
Evan Fournier,Guard,"6'5"" - 6'11""",30-34,Round 1,International,All_Star_No,New York Knicks
Markelle Fultz,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Orlando Magic
Daniel Gafford,Center,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Washington Wizards
Danilo Gallinari,Forward,"6'5"" - 6'11""",30-34,Round 1,International,All_Star_No,Boston Celtics
Darius Garland,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Cleveland Cavaliers
Taj Gibson,Forward,"6'5"" - 6'11""",35+,Round 1,Domestic,All_Star_No,Washington Wizards
Anthony Gill,Forward,"6'5"" - 6'11""",30-34,Undrafted,Domestic,All_Star_No,Washington Wizards
Jordan Goodwin,Guard,"6' - 6'5""",18-24,Undrafted,Domestic,All_Star_No,Washington Wizards
Raiquan Gray,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Brooklyn Nets
A.J. Green,Guard,"6' - 6'5""",18-24,Undrafted,Domestic,All_Star_No,Milwaukee Bucks
Danny Green,Forward,"6'5"" - 6'11""",35+,Round 2,Domestic,All_Star_No,Cleveland Cavaliers
Javonte Green,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Chicago Bulls
Blake Griffin,Forward,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Boston Celtics
"A.J. Griffin, Jr.",Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Atlanta Hawks
Quentin Grimes,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,New York Knicks
Tyrese Haliburton,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_Yes,Indiana Pacers
R.J. Hampton,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Detroit Pistons
James Harden,Guard,"6' - 6'5""",30-34,Round 1,Domestic,All_Star_No,Philadelphia Sixers
Ron Harper,Guard,"6'5"" - 6'11""",18-24,Undrafted,Domestic,All_Star_No,Toronto Raptors
Montrezl Harrell,Forward,"6'5"" - 6'11""",25-29,Round 2,Domestic,All_Star_No,Philadelphia Sixers
Gary Harris,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Orlando Magic
Joe Harris,Guard,"6'5"" - 6'11""",30-34,Round 2,Domestic,All_Star_No,Brooklyn Nets
Kevon Harris,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Orlando Magic
Tobias Harris,Forward,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Philadelphia Sixers
Josh Hart,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,New York Knicks
Isaiah Hartenstein,Forward,7' and Over,18-24,Round 2,Domestic,All_Star_No,New York Knicks
Udonis Haslem,Center,"6'5"" - 6'11""",35+,Undrafted,Domestic,All_Star_No,Miami Heat
Sam Hauser,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Boston Celtics
Killian Hayes,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Detroit Pistons
Gordon Hayward,Guard,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Charlotte Hornets
Tyler Herro,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Miami Heat
Buddy Hield,Guard,"6' - 6'5""",30-34,Round 1,International,All_Star_No,Indiana Pacers
Haywood Highsmith,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Miami Heat
George Hill,Guard,"6' - 6'5""",35+,Round 1,Domestic,All_Star_No,Indiana Pacers
Aaron Holiday,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Atlanta Hawks
Jrue Holiday,Guard,"6' - 6'5""",30-34,Round 1,Domestic,All_Star_Yes,Milwaukee Bucks
Al Horford,Center,"6'5"" - 6'11""",35+,Round 1,Domestic,All_Star_No,Boston Celtics
Danuel House,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Philadelphia Sixers
Caleb Houstan,Forward,"6'5"" - 6'11""",18-24,Round 2,International,All_Star_No,Orlando Magic
James Huff,Center,7' and Over,18-24,Undrafted,Domestic,All_Star_No,Washington Wizards
De'Andre Hunter,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Atlanta Hawks
Joe Ingles,Forward,"6'5"" - 6'11""",35+,Undrafted,International,All_Star_No,Milwaukee Bucks
Jonathan Isaac,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Orlando Magic
Jaden Ivey,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Detroit Pistons
Isaiah Jackson,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Indiana Pacers
Quenton Jackson,Guard,"6' - 6'5""",18-24,Undrafted,Domestic,All_Star_No,Washington Wizards
DaQuan Jeffries,Forward,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,New York Knicks
Cameron Johnson,Guard,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Brooklyn Nets
Jalen Johnson,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Atlanta Hawks
James Johnson,Forward,"6'5"" - 6'11""",35+,Round 1,Domestic,All_Star_No,Indiana Pacers
Carlik Jones,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Chicago Bulls
Derrick Jones,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Chicago Bulls
Kai Jones,Forward,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_No,Charlotte Hornets
Cory Joseph,Guard,"6' - 6'5""",30-34,Round 1,International,All_Star_No,Detroit Pistons
Nikola Jovic,Forward,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_No,Miami Heat
Mfiondu Kabengele,Forward,"6'5"" - 6'11""",25-29,Round 1,International,All_Star_No,Boston Celtics
Trevor Keels,Guard,"6' - 6'5""",18-24,Round 2,Domestic,All_Star_No,New York Knicks
Louis King,Forward,"6'5"" - 6'11""",18-24,Undrafted,Domestic,All_Star_No,Philadelphia Sixers
Corey Kispert,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Washington Wizards
Christian Koloko,Center,7' and Over,18-24,Round 2,International,All_Star_No,Toronto Raptors
Furkan Korkmaz,Guard,"6'5"" - 6'11""",25-29,Round 1,International,All_Star_No,Philadelphia Sixers
Luke Kornet,Forward,7' and Over,25-29,Undrafted,Domestic,All_Star_No,Boston Celtics
Vit Krejci,Guard,"6'5"" - 6'11""",18-24,Round 2,International,All_Star_No,Atlanta Hawks
Kyle Kuzma,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Washington Wizards
Zach LaVine,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Chicago Bulls
Caris LeVert,Guard,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Cleveland Cavaliers
Meyers Leonard,Center,7' and Over,30-34,Round 1,Domestic,All_Star_No,Milwaukee Bucks
Justin Lewis,Forward,"6'5"" - 6'11""",18-24,Undrafted,Domestic,All_Star_No,Chicago Bulls
Isaiah Livers,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Detroit Pistons
Brook Lopez,Center,7' and Over,35+,Round 1,Domestic,All_Star_No,Milwaukee Bucks
Robin Lopez,Center,7' and Over,35+,Round 1,Domestic,All_Star_No,Cleveland Cavaliers
Kevin Love,Center,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Miami Heat
Kyle Lowry,Guard,"6' - 6'5""",35+,Round 1,Domestic,All_Star_No,Miami Heat
Theo Maledon,Guard,"6' - 6'5""",18-24,Round 2,International,All_Star_No,Charlotte Hornets
Caleb Martin,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Miami Heat
Cody Martin,Forward,"6'5"" - 6'11""",25-29,Round 2,Domestic,All_Star_No,Charlotte Hornets
Tyrese Martin,Guard,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Atlanta Hawks
Garrison Mathews,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Atlanta Hawks
Bennedict Mathurin,Guard,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_No,Indiana Pacers
Wesley Matthews,Guard,"6' - 6'5""",35+,Undrafted,Domestic,All_Star_No,Milwaukee Bucks
Tyrese Maxey,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Philadelphia Sixers
Miles McBride,Guard,"6' - 6'5""",18-24,Round 2,Domestic,All_Star_No,New York Knicks
Mac McClung,Guard,"6' - 6'5""",18-24,Undrafted,Domestic,All_Star_No,Philadelphia Sixers
T.J. McConnell,Guard,"6' - 6'5""",30-34,Undrafted,Domestic,All_Star_No,Indiana Pacers
Jalen McDaniels,Forward,"6'5"" - 6'11""",25-29,Round 2,Domestic,All_Star_No,Philadelphia Sixers
Bryce McGowens,Guard,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Charlotte Hornets
Rodney McGruder,Guard,"6' - 6'5""",30-34,Undrafted,Domestic,All_Star_No,Detroit Pistons
De'Anthony Melton,Guard,"6' - 6'5""",18-24,Round 2,Domestic,All_Star_No,Philadelphia Sixers
Sam Merrill,Guard,"6' - 6'5""",25-29,Round 2,Domestic,All_Star_No,Cleveland Cavaliers
Khris Middleton,Forward,"6'5"" - 6'11""",30-34,Round 2,Domestic,All_Star_No,Milwaukee Bucks
Patty Mills,Guard,"6' - 6'5""",30-34,Round 2,International,All_Star_No,Brooklyn Nets
Shake Milton,Guard,"6' - 6'5""",25-29,Round 2,Domestic,All_Star_No,Philadelphia Sixers
Donovan Mitchell,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_Yes,Cleveland Cavaliers
Evan Mobley,Forward,7' and Over,18-24,Round 1,Domestic,All_Star_No,Cleveland Cavaliers
Isaiah Mobley,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Cleveland Cavaliers
Monte Morris,Guard,"6' - 6'5""",25-29,Round 2,Domestic,All_Star_No,Washington Wizards
Dejounte Murray,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Atlanta Hawks
Mike Muscala,Center,"6'5"" - 6'11""",30-34,Round 2,Domestic,All_Star_No,Boston Celtics
Svi Mykhailiuk,Forward,"6'5"" - 6'11""",25-29,Round 2,International,All_Star_No,Charlotte Hornets
Andrew Nembhard,Guard,"6' - 6'5""",18-24,Round 2,International,All_Star_No,Indiana Pacers
Aaron Nesmith,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Indiana Pacers
Raulzinho Neto,Guard,"6' - 6'5""",30-34,Round 2,International,All_Star_No,Cleveland Cavaliers
Georges Niang,Forward,"6'5"" - 6'11""",25-29,Round 2,Domestic,All_Star_No,Philadelphia Sixers
Kendrick Nunn,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Washington Wizards
Jordan Nwora,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Indiana Pacers
Royce O'Neale,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Brooklyn Nets
Chuma Okeke,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Orlando Magic
Onyeka Okongwu,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Atlanta Hawks
Isaac Okoro,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Cleveland Cavaliers
Victor Oladipo,Guard,"6' - 6'5""",30-34,Round 1,Domestic,All_Star_No,Miami Heat
Eugene Omoruyi,Forward,"6'5"" - 6'11""",25-29,Undrafted,International,All_Star_No,Detroit Pistons
Cedi Osman,Guard,"6'5"" - 6'11""",25-29,Round 2,International,All_Star_No,Cleveland Cavaliers
"Kelly Oubre, Jr.",Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Charlotte Hornets
Jakob Poeltl,Center,7' and Over,25-29,Round 1,International,All_Star_No,Toronto Raptors
Otto Porter,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Toronto Raptors
Bobby Portis,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Milwaukee Bucks
Kristaps Porzingis,Center,7' and Over,25-29,Round 1,International,All_Star_No,Washington Wizards
Payton Pritchard,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Boston Celtics
Immanuel Quickley,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,New York Knicks
Julius Randle,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_Yes,New York Knicks
"Paul Reed, Jr.",Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Philadelphia Sixers
Jared Rhoden,Guard,"6'5"" - 6'11""",18-24,Undrafted,Domestic,All_Star_No,Detroit Pistons
Nick Richards,Center,7' and Over,25-29,Round 2,International,All_Star_No,Charlotte Hornets
Duncan Robinson,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Miami Heat
Mitchell Robinson,Center,7' and Over,25-29,Round 2,Domestic,All_Star_No,New York Knicks
Orlando Robinson,Forward,7' and Over,18-24,Undrafted,Domestic,All_Star_No,Miami Heat
Isaiah Roby,Forward,"6'5"" - 6'11""",25-29,Round 2,Domestic,All_Star_No,New York Knicks
Derrick Rose,Guard,"6' - 6'5""",30-34,Round 1,Domestic,All_Star_No,New York Knicks
Terry Rozier,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Charlotte Hornets
Ricky Rubio,Guard,"6' - 6'5""",30-34,Round 1,International,All_Star_No,Cleveland Cavaliers
Admiral Schofield,Forward,"6' - 6'5""",25-29,Round 2,Domestic,All_Star_No,Orlando Magic
Jay Scrubb,Guard,"6' - 6'5""",18-24,Round 2,Domestic,All_Star_No,Orlando Magic
Day'Ron Sharpe,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Brooklyn Nets
Pascal Siakam,Forward,"6'5"" - 6'11""",25-29,Round 1,International,All_Star_Yes,Toronto Raptors
