Name,Position,Height,Age,Draft,Nationality,Conference
Bam Adebayo,Center,"6'5"" - 6'11""",25-29,Round 1,Domestic,Eastern
Giannis Antetokounmpo,Forward,"6'5"" - 6'11""",25-29,Round 1,International,Eastern
Jaylen Brown,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,Eastern
Stephen Curry,Guard,"6' - 6'5""",35+,Round 1,Domestic,Western
DeMar DeRozan,Guard,"6'5"" - 6'11""",30-34,Round 1,Domestic,Eastern
Luka Doncic,Forward,"6'5"" - 6'11""",18-24,Round 1,International,Western
Kevin Durant,Forward,"6'5"" - 6'11""",30-34,Round 1,Domestic,Western
Anthony Edwards,Forward,"6' - 6'5""",18-24,Round 1,Domestic,Western
Joel Embiid,Center,7' and Over,25-29,Round 1,International,Eastern
De'Aaron Fox,Guard,"6' - 6'5""",25-29,Round 1,Domestic,Western
Paul George,Guard,"6'5"" - 6'11""",30-34,Round 1,Domestic,Western
Shai Gilgeous-Alexander,Guard,"6'5"" - 6'11""",18-24,Round 1,International,Western
Tyrese Haliburton,Guard,"6' - 6'5""",18-24,Round 1,Domestic,Eastern
Jrue Holiday,Guard,"6' - 6'5""",30-34,Round 1,Domestic,Eastern
Kyrie Irving,Guard,"6' - 6'5""",30-34,Round 1,Domestic,Western
"Jaren Jackson, Jr.",Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,Western
LeBron James,Forward,"6'5"" - 6'11""",35+,Round 1,Domestic,Western
Nikola Jokic,Center,7' and Over,25-29,Round 2,International,Western
Damian Lillard,Guard,"6' - 6'5""",30-34,Round 1,Domestic,Western
Lauri Markkanen,Forward,7' and Over,25-29,Round 1,International,Western
Donovan Mitchell,Guard,"6' - 6'5""",25-29,Round 1,Domestic,Eastern
Ja Morant,Guard,"6' - 6'5""",18-24,Round 1,Domestic,Western
Julius Randle,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,Eastern
Domantas Sabonis,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,Western
Pascal Siakam,Forward,"6'5"" - 6'11""",25-29,Round 1,International,Eastern
Jayson Tatum,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,Eastern
Zion Williamson,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,Western
